video_id,frame_no,parsed_json,schema_conformant,node_tp,node_fp,node_fn,node_precision,node_recall,node_f1,edge_tp,edge_fp,edge_fn,edge_precision,edge_recall,edge_f1,box_mean_iou,box_median_iou,box_std_iou,box_min_iou,box_max_iou,box_match_count,box_iou@0.5_coverage,box_iou@0.75_coverage,composite_hits_gt,composite_hits_pred,composite_fn_explained_pct,composite_fp_explained_pct,composite_adj_recall,gen_wall_time_s
N3xXYO9UYxU,131,1,1,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,1,5,6,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.6015576720237732,0.4792826175689697,0.21997559070587158,0.4000000059604645,1.0,5,0.4,0.2,0,0,0.0,0.0,0.7142857142857143,29.862078
N3xXYO9UYxU,149,1,1,6,0,1,1.0,0.8571428571428571,0.923076923076923,4,1,2,0.8,0.6666666666666666,0.7272727272727272,0.6696740984916687,0.6666666865348816,0.1819642335176468,0.3807106614112854,1.0,6,0.8333333333333334,0.16666666666666666,0,0,0.0,0.0,0.8571428571428571,23.723291
N3xXYO9UYxU,221,1,1,4,3,4,0.5714285714285714,0.5,0.5333333333333333,0,7,7,0.0,0.0,0.0,0.5985375046730042,0.5720750093460083,0.09611636400222778,0.5,0.75,4,1.0,0.25,0,0,0.0,0.0,0.5,29.023834
N3xXYO9UYxU,222,1,1,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846153,1,4,6,0.2,0.14285714285714285,0.16666666666666666,0.6193079948425293,0.609649121761322,0.16712775826454163,0.4000000059604645,0.8579335808753967,4,0.75,0.25,0,0,0.0,0.0,0.5714285714285714,25.225965
Nbl97Bp3Kzw,27,1,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,1,0.0,0.0,0.0,0.375,0.375,0.0,0.375,0.375,1,0.0,0.0,0,0,0.0,0.0,0.5,4.775046
Nbl97Bp3Kzw,57,1,1,2,2,2,0.5,0.5,0.5,0,4,4,0.0,0.0,0.0,0.7289999723434448,0.7289999723434448,0.17099997401237488,0.5580000281333923,0.8999999761581421,2,1.0,0.5,0,0,0.0,0.0,0.5,17.642068
Nbl97Bp3Kzw,130,1,1,3,7,8,0.3,0.2727272727272727,0.28571428571428564,1,6,15,0.14285714285714285,0.0625,0.08695652173913043,0.7726495862007141,0.800000011920929,0.0386793427169323,0.7179487347602844,0.800000011920929,3,1.0,0.6666666666666666,0,0,0.0,0.0,0.2727272727272727,39.744848
Nbl97Bp3Kzw,156,1,1,5,0,4,1.0,0.5555555555555556,0.7142857142857143,4,1,4,0.8,0.5,0.6153846153846154,0.5311378240585327,0.4000000059604645,0.20461997389793396,0.3214285671710968,0.8333333134651184,5,0.4,0.2,0,0,0.0,0.0,0.5555555555555556,21.916737
TFJ6oR89Vb8,55,1,1,5,0,0,1.0,1.0,1.0,2,2,2,0.5,0.5,0.5,0.6544098854064941,0.625,0.23423495888710022,0.3076923191547394,1.0,5,0.8,0.4,0,0,0.0,0.0,1.0,20.568794
TFJ6oR89Vb8,91,1,1,4,1,1,0.8,0.8,0.8000000000000002,0,4,5,0.0,0.0,0.0,0.642379641532898,0.6029411554336548,0.2397366762161255,0.3636363744735718,1.0,4,0.75,0.25,0,0,0.0,0.0,0.8,21.042964
